No,AD_CLIENT_ID,DEPT_CODE,APPLIED_CHARGES_CLASS,PURPOSE_OF_USE_MR,CONTRACT_ORG_CODE,CONTRACT_ORG_KBN,CONTRACT_TYPE,D_ID_RENTAL_KBN,RENTAL_TERM_KBN,YEAR,MONTH,DAY,PREVIOUS_MONTH_ADJ,COUNT,SALES_AMT,RENTAL_TIME
265,1000002,3M2W1,P1,3,3F000,2,6,7,1,2021,10,1,0,1,4750,6
266,1000002,3M2W1,P2,3,3F000,2,6,7,1,2021,10,1,0,1,7900,26
267,1000002,3M2W1,P2,3,DBC00,5,1,7,1,2021,10,1,0,1,14400,71
268,1000002,3M2W1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,4972,3
269,1000002,3M3B1,P2,3,3M2M1,5,3,7,1,2021,10,1,0,1,13504,23
270,1000002,3M3B1,P2,3,DBB00,5,1,7,1,2021,10,1,0,1,5333,7
271,1000002,3M3B1,P7,3,3TC00,1,2,7,Z,2021,10,1,0,1,4500,9
272,1000002,3M3H1,P1,3,3TA00,1,1,7,1,2021,10,1,0,1,11266,32
273,1000002,3M3H1,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,5838,15
274,1000002,3M4B1,P0,1,3F000,3,8,7,1,2021,10,1,0,1,17000,28
275,1000002,3M4B1,P0,3,3TA00,1,1,7,1,2021,10,1,0,1,3898,3
276,1000002,3M4B1,P1,3,3TA00,1,1,7,1,2021,10,1,0,2,9466,10
